ID,quizz,question,choix1,choix2,choix3,choix4,bonne,explication,type,theme,palier,actif,palierProvisoire,veille,source
nat-0021,nat,"Vous souhaitez contester une décision administrative (refus de titre, amende…). Que pouvez-vous faire ?","Rien, une décision administrative est toujours définitive","Former un recours gracieux auprès de l'administration ou un recours devant le tribunal administratif, dans les délais indiqués",Vous adresser directement à la Cour de cassation,Écrire au Président de la République,2,"Toute décision administrative peut faire l'objet d'un recours gracieux (devant l'auteur de la décision) ou contentieux (devant le tribunal administratif), dans les délais mentionnés sur la notification.",situation,Système institutionnel et politique,2,VRAI,,,Code de justice administrative
nat-0022,nat,Vous êtes témoin d'une agression dans la rue. Que devez-vous faire ?,"Continuer votre chemin, cela ne vous concerne pas",Alerter les secours (17 ou 112) et porter assistance si vous pouvez le faire sans vous mettre en danger,Intervenir physiquement dans tous les cas,Filmer la scène sans rien faire d'autre,2,"La non-assistance à personne en danger est un délit. La loi impose d'alerter les secours ou d'agir, dans la limite de ce qui ne met pas sa propre sécurité en péril.",situation,Droits et devoirs des citoyens,2,VRAI,,,"Code pénal, art. 223-6"
nat-0023,nat,"Qu'est-ce que le Sénat, dans l'organisation des pouvoirs ?","La chambre haute du Parlement, élue au suffrage indirect",Une juridiction pénale,Un organe consultatif sans pouvoir législatif,L'équivalent du gouvernement,1,"Le Sénat, élu au suffrage universel indirect par les grands électeurs, représente notamment les collectivités territoriales et partage le pouvoir législatif avec l'Assemblée nationale.",simple,Système institutionnel et politique,3,VRAI,,,"Constitution, art. 24"
nat-0024,nat,"Quel philosophe des Lumières a théorisé la séparation des pouvoirs, reprise par la Constitution française ?",Voltaire,Montesquieu,Rousseau,Diderot,2,"Montesquieu développe la théorie de la séparation des pouvoirs dans « De l'esprit des lois » (1748), fondement de l'organisation constitutionnelle française.",simple,"Histoire, géographie et culture",3,VRAI,,,"De l'esprit des lois, 1748"
nat-0025,nat,Que garantit le principe d'égalité entre les femmes et les hommes inscrit dans la Constitution ?,Un objectif sans portée pratique,"L'égal accès aux mandats électoraux et fonctions électives, et l'égalité professionnelle",Une égalité réservée au droit de vote,"Rien, ce principe a été supprimé en 2008",2,"La révision constitutionnelle de 1999 (parité) puis de 2008 renforce l'égal accès des femmes et des hommes aux mandats électoraux, fonctions électives et responsabilités professionnelles et sociales.",simple,Principes et valeurs de la République,3,VRAI,,,"Constitution, art. 1er, al. 2"
nat-0026,nat,"Qu'est-ce que le droit de résistance à l'oppression, cité dans la Déclaration de 1789 ?",Un droit aboli depuis 1958,"Un des quatre droits naturels de l'homme, aux côtés de la liberté, de la propriété et de la sûreté",Un droit réservé aux militaires,Un droit purement symbolique jamais mobilisé,2,"L'article 2 de la DDHC de 1789 cite quatre droits naturels et imprescriptibles : liberté, propriété, sûreté et résistance à l'oppression.",simple,Droits et devoirs des citoyens,3,VRAI,,,"DDHC 1789, art. 2"
nat-0027,nat,"Quel roi la Révolution française a-t-elle renversé en 1792, avant la proclamation de la Première République ?",Louis XIV,Louis XV,Louis XVI,Charles X,3,"La monarchie est abolie le 21 septembre 1792 et la Première République proclamée le lendemain, après l'arrestation de Louis XVI en août 1792.",simple,"Histoire, géographie et culture",3,VRAI,,,Notoriété historique
nat-0028,nat,Quel est le nombre de régions que compte la France métropolitaine depuis la réforme territoriale de 2016 ?,22,18,13,27,3,"La réforme territoriale de 2015-2016 fait passer la France métropolitaine de 22 à 13 régions, par fusion de plusieurs d'entre elles.",simple,Système institutionnel et politique,3,VRAI,,,Loi du 16 janvier 2015
nat-0029,nat,Vous êtes convoqué comme juré à la cour d'assises alors que vous travaillez. Votre employeur peut-il vous l'interdire ?,"Oui, l'employeur décide librement de ses effectifs","Non, l'employeur doit vous laisser disponible : c'est une obligation civique protégée par la loi","Oui, sauf si vous êtes cadre","Non, mais seulement si vous êtes volontaire",2,"La fonction de juré est un devoir civique. L'employeur ne peut ni s'y opposer ni sanctionner le salarié pour cette absence, qui est assimilée à du temps de travail pour certains droits.",situation,Droits et devoirs des citoyens,3,VRAI,,,"Code de procédure pénale, art. 258"
nat-0030,nat,Un candidat à une élection tient des propos incitant à la haine envers un groupe de personnes. Est-ce protégé par la liberté d'expression ?,"Oui, un candidat peut tout dire pendant une campagne","Non, l'incitation à la haine reste punissable même en période électorale","Oui, uniquement s'il est élu ensuite","Non, mais seulement après le second tour",2,"La liberté d'expression, y compris politique, ne couvre pas l'incitation à la haine ou à la discrimination, punie par la loi de 1881 quelle que soit la période.",situation,Principes et valeurs de la République,3,VRAI,,,"Loi du 29 juillet 1881, art. 24"
